original_name,detected_extension,matched_reference,normalized_reference,match_method,image_key,renamed_file,csv_path
7502.jpg,.jpg,7502,7502,prefixe-plus-long,7502,7502-001.jpg,backend/uploads/products/7502-001.jpg
786_.png,.png,786,786,prefixe-plus-long,786,786-001.png,backend/uploads/products/786-001.png
8017_3-1-2-3 (black).jpg,.jpg,8017,8017,prefixe-plus-long,80173123black,8017-001.jpg,backend/uploads/products/8017-001.jpg
8028_.png,.png,8028,8028,prefixe-plus-long,8028,8028-001.png,backend/uploads/products/8028-001.png
8048.jpg,.jpg,8048,8048,prefixe-plus-long,8048,8048-001.jpg,backend/uploads/products/8048-001.jpg
8048_2-1-2.jpg,.jpg,8048,8048,prefixe-plus-long,8048212,8048-002.jpg,backend/uploads/products/8048-002.jpg
8067.png,.png,8067,8067,prefixe-plus-long,8067,8067-001.png,backend/uploads/products/8067-001.png
8072.jpg,.jpg,8072,8072,prefixe-plus-long,8072,8072-001.jpg,backend/uploads/products/8072-001.jpg
8075 (blue).png,.png,8075,8075,prefixe-plus-long,8075blue,8075-001.png,backend/uploads/products/8075-001.png
8075 (orange).png,.png,8075,8075,prefixe-plus-long,8075orange,8075-002.png,backend/uploads/products/8075-002.png
8097_3-1-2-3.png,.png,8097,8097,prefixe-plus-long,80973123,8097-001.png,backend/uploads/products/8097-001.png
8104(1).jpg,.jpg,8104,8104,prefixe-plus-long,81041,8104-001.jpg,backend/uploads/products/8104-001.jpg
8104.jpg,.jpg,8104,8104,prefixe-plus-long,8104,8104-002.jpg,backend/uploads/products/8104-002.jpg
8108.png,.png,8108,8108,prefixe-plus-long,8108,8108-001.png,backend/uploads/products/8108-001.png
8115(1).jpg,.jpg,8115,8115,prefixe-plus-long,81151,8115-001.jpg,backend/uploads/products/8115-001.jpg
8115.jpg,.jpg,8115,8115,prefixe-plus-long,8115,8115-002.jpg,backend/uploads/products/8115-002.jpg
8134_3-1-2-3.jpg,.jpg,8134,8134,prefixe-plus-long,81343123,8134-001.jpg,backend/uploads/products/8134-001.jpg
8137 ( black ).jpg,.jpg,8137,8137,prefixe-plus-long,8137black,8137-001.jpg,backend/uploads/products/8137-001.jpg
8137 (bège).jpg,.jpg,8137,8137,prefixe-plus-long,8137bege,8137-002.jpg,backend/uploads/products/8137-002.jpg
8137 (grey).jpg,.jpg,8137,8137,prefixe-plus-long,8137grey,8137-003.jpg,backend/uploads/products/8137-003.jpg
8139.png,.png,8139,8139,prefixe-plus-long,8139,8139-001.png,backend/uploads/products/8139-001.png
8141.png,.png,8141,8141,prefixe-plus-long,8141,8141-001.png,backend/uploads/products/8141-001.png
8143.png,.png,8143,8143,prefixe-plus-long,8143,8143-001.png,backend/uploads/products/8143-001.png
8144_2-1.png,.png,8144/2-1,814421,prefixe-plus-long,814421,8144-2-1-001.png,backend/uploads/products/8144-2-1-001.png
81602. #1,.jpg,81602,81602,prefixe-plus-long,81602,81602-001.jpg,backend/uploads/products/81602-001.jpg
81602. #2,.jpg,81602,81602,prefixe-plus-long,81602,81602-002.jpg,backend/uploads/products/81602-002.jpg
81602. #3,.jpg,81602,81602,prefixe-plus-long,81602,81602-003.jpg,backend/uploads/products/81602-003.jpg
81602. #4,.jpg,81602,81602,prefixe-plus-long,81602,81602-004.jpg,backend/uploads/products/81602-004.jpg
8165_2-1-2 (black).jpg,.jpg,8165/2-1-2,8165212,prefixe-plus-long,8165212black,8165-2-1-2-001.jpg,backend/uploads/products/8165-2-1-2-001.jpg
8165_2-1-2 (white).jpg,.jpg,8165/2-1-2,8165212,prefixe-plus-long,8165212white,8165-2-1-2-002.jpg,backend/uploads/products/8165-2-1-2-002.jpg
8175_2-1-2 (black).jpg,.jpg,8175/2-1-2,8175212,prefixe-plus-long,8175212black,8175-2-1-2-001.jpg,backend/uploads/products/8175-2-1-2-001.jpg
8175_2-1-2 (white).jpg,.jpg,8175/2-1-2,8175212,prefixe-plus-long,8175212white,8175-2-1-2-002.jpg,backend/uploads/products/8175-2-1-2-002.jpg
8178_2-1-2 (black).jpg,.jpg,8178/2-1-2,8178212,prefixe-plus-long,8178212black,8178-2-1-2-001.jpg,backend/uploads/products/8178-2-1-2-001.jpg
8178_2-1-2 (white).jpg,.jpg,8178/2-1-2,8178212,prefixe-plus-long,8178212white,8178-2-1-2-002.jpg,backend/uploads/products/8178-2-1-2-002.jpg
