original_name,detected_extension,image_key,reason
MX 25-16.   #2,.jpg,mx2516,aucune
MX 25-16.   #3,.jpg,mx2516,aucune
MX 25-16.   #4,.jpg,mx2516,aucune
MX 65_6.  #1,.jpg,mx656,aucune
MX 65_6.  #2,.png,mx656,aucune
MX 65_6.  #3,.png,mx656,aucune
MX 65_6.  #4,.jpg,mx656,aucune
P 8078_50.  #1,.jpg,p807850,aucune
P 8078_50.  #2,.jpg,p807850,aucune
P 8078_50.  #3,.jpg,p807850,aucune
P 8078_50.  #4,.jpg,p807850,aucune
P 8078_60.  #1,.png,p807860,aucune
P 8078_60.  #2,.png,p807860,aucune
P 8078_60.  #3,.png,p807860,aucune
P 8078_60.  #4,.png,p807860,aucune
P 8078_80.   #1,.png,p807880,aucune
P 8078_80.   #2,.jpg,p807880,aucune
P 8078_80.   #3,.jpg,p807880,aucune
P 8078_80.   #4,.jpg,p807880,aucune
ref 2329.jpg,.jpg,ref2329,aucune
ref 2672.png,.png,ref2672,aucune
rim 13.png,.png,rim13,aucune
rim 333.png,.png,rim333,aucune
rim 54.jpg,.jpg,rim54,aucune
Rim 55.jpg,.jpg,rim55,aucune
Rim 59.png,.png,rim59,aucune
rim 63.jpg,.jpg,rim63,aucune
rim002 (bège).jpg,.jpg,rim002bege,aucune
rim002 (transparent ).jpg,.jpg,rim002transparent,aucune
RL 9270 M.    #1,.png,rl9270m,aucune
RL 9270 M.    #2,.png,rl9270m,aucune
RL 9270 M.    #3,.png,rl9270m,aucune
RL 9270 M.    #4,.png,rl9270m,aucune
RT 9227_A.    #1,.jpg,rt9227a,aucune
RT 9227_A.    #2,.jpg,rt9227a,aucune
RT 9227_A.    #3,.jpg,rt9227a,aucune
RT 9227_A.    #4,.jpg,rt9227a,aucune
RT 9272-B.    #1,.jpg,rt9272b,aucune
RT 9272-B.    #2,.jpg,rt9272b,aucune
RT 9272-B.    #3,.jpg,rt9272b,aucune
RT 9272-B.    #4,.jpg,rt9272b,aucune
SC 11904.jpg,.jpg,sc11904,aucune
